politica,semilla,nivel_riesgo,categoria_riesgo,decisiones,contactos_aceptados,acciones_aceptadas,eventos_adversos,recompensa_acumulada,costo_total,excesos_capacidad,cobertura_porcentaje,tasa_eventos_porcentaje
aleatoria,42,2,alto,7344,803,2658,685,-24920.0,1583,4686,10.93409586056645,9.327342047930284
aleatoria,123,2,alto,7344,815,2693,690,-24724.5,1648,4651,11.097494553376906,9.395424836601308
aleatoria,2026,2,alto,7344,792,2666,680,-24842.5,1613,4678,10.784313725490197,9.25925925925926
dqn_v1,42,2,alto,7344,624,7344,684,-10692.0,1872,0,8.49673202614379,9.31372549019608
dqn_v1,123,2,alto,7344,624,7344,709,-10817.0,1872,0,8.49673202614379,9.654139433551196
dqn_v1,2026,2,alto,7344,624,7344,692,-10732.0,1872,0,8.49673202614379,9.422657952069716
ppo_v1,42,2,alto,7344,696,7254,676,-10490.0,2088,90,9.477124183006536,9.20479302832244
ppo_v1,123,2,alto,7344,696,7254,706,-10640.0,2088,90,9.477124183006536,9.613289760348584
ppo_v1,2026,2,alto,7344,696,7254,682,-10520.0,2088,90,9.477124183006536,9.286492374727668
q_learning_v1,42,2,alto,7344,705,7069,684,-11281.5,1948,275,9.59967320261438,9.31372549019608
q_learning_v1,123,2,alto,7344,705,7069,705,-11386.5,1948,275,9.59967320261438,9.59967320261438
q_learning_v1,2026,2,alto,7344,705,7069,693,-11326.5,1948,275,9.59967320261438,9.43627450980392
reglas_capacidad,42,2,alto,7344,864,7344,673,-9197.0,2592,0,11.764705882352942,9.163943355119825
reglas_capacidad,123,2,alto,7344,864,7344,684,-9252.0,2592,0,11.764705882352942,9.31372549019608
reglas_capacidad,2026,2,alto,7344,864,7344,674,-9202.0,2592,0,11.764705882352942,9.177559912854033
reglas_riesgo,42,2,alto,7344,864,864,673,-28637.0,2592,6480,11.764705882352942,9.163943355119825
reglas_riesgo,123,2,alto,7344,864,864,684,-28692.0,2592,6480,11.764705882352942,9.31372549019608
reglas_riesgo,2026,2,alto,7344,864,864,674,-28642.0,2592,6480,11.764705882352942,9.177559912854033
