politica,nivel_riesgo,categoria_riesgo,decisiones_medias,contactos_medios,cobertura_media,cobertura_desviacion,tasa_eventos_media,recompensa_media,costo_medio,excesos_capacidad_medios
aleatoria,0,bajo,4632.0,440.667,9.514,0.193,2.634,-9322.667,882.667,3051.333
aleatoria,1,medio,6528.0,608.667,9.324,0.183,5.305,-16359.667,1198.667,4289.0
aleatoria,2,alto,7344.0,803.333,10.939,0.157,9.327,-24829.0,1614.667,4671.667
dqn_v1,0,bajo,4632.0,331.0,7.146,0.0,2.713,-136.833,983.0,0.0
dqn_v1,1,medio,6528.0,266.0,4.075,0.0,5.484,-4131.0,790.0,0.0
dqn_v1,2,alto,7344.0,624.0,8.497,0.0,9.464,-10747.0,1872.0,0.0
ppo_v1,0,bajo,4632.0,300.0,6.477,0.0,2.713,-178.333,900.0,0.0
ppo_v1,1,medio,6528.0,228.0,3.493,0.0,5.484,-4256.0,684.0,0.0
ppo_v1,2,alto,7344.0,696.0,9.477,0.0,9.368,-10550.0,2088.0,90.0
q_learning_v1,0,bajo,4632.0,392.0,8.463,0.0,2.691,-443.333,846.0,81.0
q_learning_v1,1,medio,6528.0,339.0,5.193,0.0,5.469,-4343.5,902.0,122.0
q_learning_v1,2,alto,7344.0,705.0,9.6,0.0,9.45,-11331.5,1948.0,275.0
reglas_capacidad,0,bajo,4632.0,46.0,0.993,0.078,2.756,-615.333,46.0,0.0
reglas_capacidad,1,medio,6528.0,531.333,8.139,0.023,5.356,-3688.667,1058.0,0.0
reglas_capacidad,2,alto,7344.0,864.0,11.765,0.0,9.218,-9217.0,2592.0,0.0
reglas_riesgo,0,bajo,4632.0,50.667,1.094,0.09,2.749,-1820.333,50.667,403.0
reglas_riesgo,1,medio,6528.0,526.667,8.068,0.032,5.362,-21701.333,1053.333,6001.333
reglas_riesgo,2,alto,7344.0,864.0,11.765,0.0,9.218,-28657.0,2592.0,6480.0
